taxonRemarks,taxonID,scientificName,vernacularName,language
Flowering plants,floraislands.is/calliher.html,Callitriche hermaphroditica,Haustbrúða,is
Flowering plants,floraislands.is/ericatet.html,Erica tetralix,Haustlyng,is
Flowering plants,floraislands.is/alopepra.html,Alopecurus pratensis,Háliðagras,is
Flowering plants,floraislands.is/agroscap.html,Agrostis capillaris,Hálíngresi,is
Flowering plants,floraislands.is/calamstr.html,Calamagrostis stricta,Hálmgresi,is
Flowering plants,floraislands.is/veronoff.html,Veronica officinalis,Hárdepla,is
Flowering plants,floraislands.is/carcapil.html,Carex capillaris,Hárleggjastör,is
Flowering plants,floraislands.is/poatrivi.html,Poa trivialis,Hásveifgras,is
Flowering plants,floraislands.is/festupra.html,Schedonorus pratensis,Hávingull,is
Flowering plants,floraislands.is/epilohor.html,Epilobium hornemannii,Heiðadúnurt,is
Flowering plants,floraislands.is/carheleo.html,Carex heleonastes,Heiðastör,is
Flowering plants,floraislands.is/carglare.html,Carex glareosa,Heigulstör,is
Flowering plants,floraislands.is/sedumacr.html,Sedum acre,Helluhnoðri,is
Flowering plants,floraislands.is/carrarif.html,Carex rariflora,Hengistör,is
Flowering plants,floraislands.is/danthdec.html,Danthonia decumbens,Herjólfshár,is
Flowering plants,floraislands.is/drabaniv.html,Draba nivalis,Héluvorblóm,is
Flowering plants,floraislands.is/poajemtl.html,Poa jemtlandica,Hjallasveifgras,is
Flowering plants,floraislands.is/crepipal.html,Crepis paludosa,Hjartafífill,is
Flowering plants,floraislands.is/potamper.html,Potamogeton perfoliatus,Hjartanykra,is
Flowering plants,floraislands.is/brizamed.html,Briza media,Hjartapuntur,is
Flowering plants,floraislands.is/capsebur.html,Capsella bursa-pastoris,Hjartarfi,is
Flowering plants,floraislands.is/listecor.html,Listera cordata,Hjartatvíblaðka,is
Flowering plants,floraislands.is/pseudalb.html,Pseudorchis straminea,Hjónagras,is
Flowering plants,floraislands.is/chamosua.html,Lepidotheca suaveolens,Hlaðkolla,is
Flowering plants,floraislands.is/barbastr.html,Barbarea stricta,Hlíðableikja,is
Flowering plants,floraislands.is/alchefil.html,Alchemilla filicaulis (incl. var. vestita),Hlíðamaríustakkur,is
Flowering plants,floraislands.is/carcapit.html,Carex capitata,Hnappstör,is
Flowering plants,floraislands.is/cerasglo.html,Cerastium glomeratum,Hnoðafræhyrna,is
Flowering plants,floraislands.is/alcheglo.html,Alchemilla glomerulans,Hnoðamaríustakkur,is
Flowering plants,floraislands.is/zannipal.html,Zannichellia palustris,Hnotsörvi,is
Flowering plants,floraislands.is/juncubul.html,Juncus bulbosus,Hnúðsef,is
Flowering plants,floraislands.is/saginnod.html,Sagina nodosa,Hnúskakrækill,is
Flowering plants,floraislands.is/dryasoct.html,Dryas octopetala,Holtasóley,is
Flowering plants,floraislands.is/silenmar.html,Silene maritima,Holurt,is
Flowering plants,floraislands.is/menyatri.html,Menyanthes trifoliata,Horblaðka,is
Flowering plants,floraislands.is/tussifar.html,Tussilago farfara,Hóffífill,is
Flowering plants,floraislands.is/calthpal.html,Caltha palustris,Hófsóley,is
Flowering plants,floraislands.is/eriopsch.html,Eriophorum scheuchzeri,Hrafnafífa,is
Flowering plants,floraislands.is/cardanym.html,Cardamine nymanii,Hrafnaklukka,is
Flowering plants,floraislands.is/carsaxat.html,Carex saxatilis,Hrafnastör,is
Flowering plants,floraislands.is/saxiffol.html,Saxifraga foliolosa,Hreistursteinbrjótur,is
Flowering plants,floraislands.is/atripgla.html,Atriplex glabriuscula,Hrímblaðka,is
Flowering plants,floraislands.is/caradelo.html,Carex adelostoma,Hrísastör,is
Flowering plants,floraislands.is/petashyb.html,Petasites hybridus,Hrossafífill,is
Flowering plants,floraislands.is/juncuarc.html,Juncus arcticus subsp. intermedius,Hrossanál,is
Flowering plants,floraislands.is/rubussax.html,Rubus saxatilis,Hrútaberjalyng,is
Flowering plants,floraislands.is/rumacell.html,Rumex acetosella,Hundasúra,is
Flowering plants,floraislands.is/elymurep.html,Elytrigia repens,Húsapuntur,is
Flowering plants,floraislands.is/galiunor.html,Galium normanii,Hvítmaðra,is
Flowering plants,floraislands.is/triforep.html,Trifolium repens,Hvítsmári,is
Flowering plants,floraislands.is/carbicol.html,Carex bicolor,Hvítstör,is
Flowering plants,floraislands.is/campaglo.html,Campanula glomerata,Höfuðklukka,is
Flowering plants,floraislands.is/sangualb.html,Sanguisorba alpina,Höskollur,is
Flowering plants,floraislands.is/betulpub.html,Betula pubescens,Ilmbjörk,is
Flowering plants,floraislands.is/anthoodo.html,Anthoxanthum odoratum,Ilmreyr,is
Flowering plants,floraislands.is/carechin.html,Carex echinata,Ígulstör,is
Flowering plants,floraislands.is/pilosisl.html,Pilosella islandica,slandsfífill,is
Flowering plants,floraislands.is/erigebor.html,Erigeron boreale,Jakobsfífill,is
Flowering plants,floraislands.is/fragaves.html,Fragaria vesca,Jarðarber,is
Flowering plants,floraislands.is/cardabel.html,Cardamine bellidifolia,Jöklaklukka,is
Flowering plants,floraislands.is/ranungla.html,Ranunculus glacialis,Jöklasóley,is
Flowering plants,floraislands.is/roripisl.html,Rorippa islandica,Kattarjurt,is
Flowering plants,floraislands.is/plantmar.html,Plantago maritima,Kattartunga,is
Flowering plants,floraislands.is/carmagel.html,Carex paupercula,Keldustör,is
Flowering plants,floraislands.is/euphrarc.html,Euphrasia stricta,Kirtilaugnfró,is
Flowering plants,floraislands.is/myosodis.html,Myosotis discolor,Kisugras,is
Flowering plants,floraislands.is/elymucan.html,Elymus alopex,Kjarrhveiti,is
Flowering plants,floraislands.is/poanemor.html,Poa nemoralis,Kjarrsveifgras,is
Flowering plants,floraislands.is/epilocol.html,Epilobium collinum,Klappadúnurt,is
Flowering plants,floraislands.is/saxifcot.html,Saxifraga cotyledon,Klettafrú,is
Flowering plants,floraislands.is/eriopang.html,Eriophorum angustifolium,Klófífa,is
Flowering plants,floraislands.is/pyrolmin.html,Pyrola minor,Klukkublóm,is
Flowering plants,floraislands.is/carbuxba.html,Carex buxbaumii,Klumbustör,is
Flowering plants,floraislands.is/alopegen.html,Alopecurus geniculatus,Knjáliðagras,is
Flowering plants,floraislands.is/danthdec.html,Danthonia decumbens,Knjápuntur,is
Flowering plants,floraislands.is/carmaclo.html,Carex macloviana,Kollstör,is
Flowering plants,floraislands.is/bistoviv.html,Bistorta vivipara,Kornsúra,is
Flowering plants,floraislands.is/juncubal.html,Juncus balticus,Krakanál,is
Flowering plants,floraislands.is/egeriden.html,Egeria densa,Kransarfi,is
Flowering plants,floraislands.is/senecvul.html,Senecio vulgaris,Krossfífill,is
Flowering plants,floraislands.is/melamsyl.html,Melampyrum sylvaticum,Krossjurt,is
Flowering plants,floraislands.is/galiubor.html,Galium boreale,Krossmaðra,is
Flowering plants,floraislands.is/empetnig.html,Empetrum nigrum,Krækilyng,is
Flowering plants,floraislands.is/coraltri.html,Corallorhiza trifida,Kræklurót,is
Flowering plants,floraislands.is/carumcar.html,Carum carvi,Kúmen,is
Flowering plants,floraislands.is/silenaca.html,Silene acaulis,Lambagras,is
Flowering plants,floraislands.is/cardahir.html,Cardamine hirsuta,Lambaklukka,is
Flowering plants,floraislands.is/saginsag.html,Sagina saginoides,Langkrækill,is
Flowering plants,floraislands.is/potampra.html,Potamogeton praelongus,Langnykra,is
Flowering plants,floraislands.is/callista.html,Callitriche stagnalis,Laugabrúða,is
Flowering plants,floraislands.is/veronana.html,Veronica anagallis-aquatica,Laugadepla,is
Flowering plants,floraislands.is/galiuuli.html,Galium uliginosum,Laugamaðra,is
Flowering plants,floraislands.is/juncuart.html,Juncus articulatus,Laugasef,is
Flowering plants,floraislands.is/saxifcer.html,Saxifraga cernua,Laukasteinbrjótur,is
Flowering plants,floraislands.is/stellhum.html,Stellaria humifusa,Lágarfi,is
Flowering plants,floraislands.is/hippuvut.html,Hippuris lanceolata,Lensulófótur,is
Flowering plants,floraislands.is/larixsib.html,Larix sibirica,Lerki,is
Flowering plants,floraislands.is/epiloals.html,Epilobium alsinifolium,Lindadúnurt,is
Flowering plants,floraislands.is/juncuran.html,Juncus ranarius,Lindasef,is
Flowering plants,floraislands.is/stellcal.html,Stellaria borealis,Línarfi,is
Flowering plants,floraislands.is/carbrunn.html,Carex brunnescens,Línstör,is
Flowering plants,floraislands.is/alchealp.html,Alchemilla alpina,Ljónslöpp,is
Flowering plants,floraislands.is/epilolac.html,Epilobium lactiflorum,Ljósadúnurt,is
Flowering plants,floraislands.is/andropol.html,Andromeda polifolia,Ljósalyng,is
Flowering plants,floraislands.is/lamiualb.html,Lamium album,Ljósatvítönn,is
Flowering plants,floraislands.is/viscaalp.html,Vicaria alpina,Ljósberi,is
Flowering plants,floraislands.is/holculan.html,Holcus lanatus,Loðgresi,is
Flowering plants,floraislands.is/salixlan.html,Salix lanata,Loðvíðir,is
Flowering plants,floraislands.is/rhinamin.html,Rhinanthus minor,Lokasjóður,is
Flowering plants,floraislands.is/poaflexu.html,Poa flexuosa,Lotsveifgras,is
Flowering plants,floraislands.is/hippuvul.html,Hippuris vulgaris,Lófótur,is
Flowering plants,floraislands.is/trisespi.html,Trisetum spicatum,Lógresi,is
Flowering plants,floraislands.is/ruppimar.html,Ruppia cirrhosa,Lónajurt,is
Flowering plants,floraislands.is/ranuntri.html,Ranunculus confervoides,Lónasóley,is
Flowering plants,floraislands.is/lupinnoo.html,Lupinus nootkatensis,Lúpína,is
Flowering plants,floraislands.is/pinguvul.html,Pinguicula vulgaris,Lyfjagras,is
Flowering plants,floraislands.is/ajugapyr.html,Ajuga pyramidalis,Lyngbúi,is
Flowering plants,floraislands.is/callibru.html,Callitriche brutia,Lækjabrúða,is
Flowering plants,floraislands.is/veronser.html,Veronica serpyllifolia,Lækjadepla,is
Flowering plants,floraislands.is/cerascer.html,Cerastium cerastoides,Lækjafræhyrna,is
Flowering plants,floraislands.is/montifon.html,Montia fontana,Lækjagrýta,is
Flowering plants,floraislands.is/juncubuf.html,Juncus bufonius,Lækjasef,is
Flowering plants,floraislands.is/saxifriv.html,Saxifraga rivularis,Lækjasteinbrjótur,is
Flowering plants,floraislands.is/zostemar.html,Zostera angustifolia,Marhálmur,is
Flowering plants,floraislands.is/primustr.html,Primula stricta,Maríulykill,is
Flowering plants,floraislands.is/alchefil.html,Alchemilla filicaulis (incl. var. vestita),Maríustakkur,is
Flowering plants,floraislands.is/gentiten.html,Comastoma tenellum,Maríuvendlingur,is
Flowering plants,floraislands.is/genticam.html,Gentianella campestris,Maríuvöndur,is
Flowering plants,floraislands.is/alchefae.html,Alchemilla faeroensis,Maríuvöttur,is
Flowering plants,floraislands.is/carsalin.html,Carex ramenskii,Marstör,is
Flowering plants,floraislands.is/cardapet.html,Arabidopsis petraea,Melablóm,is
Flowering plants,floraislands.is/minuarub.html,Minuartia rubella,Melanóra,is
Flowering plants,floraislands.is/papavrad.html,Papaver radicatum,Melasól,is
Flowering plants,floraislands.is/leymuare.html,Leymus arenarius,Melgresi,is
Flowering plants,floraislands.is/filipulm.html,Filipendula ulmaria,Mjaðjurt,is
Flowering plants,floraislands.is/cassihyp.html,Harrimanella hypnoides,Mosalyng,is
Flowering plants,floraislands.is/saxifhyp.html,Saxifraga hypnoides,Mosasteinbrjótur,is
